class,path,name,rank,cves
exploits,exploits/multi/browser/firefox_pdfjs_privilege_escalation,"Firefox PDF.js Privileged Javascript Injection",manual,CVE-2015-0802
exploits,exploits/multi/browser/firefox_queryinterface,"Firefox location.QueryInterface() Code Execution",normal,
exploits,exploits/multi/browser/java_setdifficm_bof,"Sun Java JRE AWT setDiffICM Buffer Overflow",great,CVE-2009-3869
exploits,exploits/multi/browser/java_jre17_provider_skeleton,"Java Applet ProviderSkeleton Insecure Invoke Method",great,CVE-2013-2460
exploits,exploits/multi/browser/adobe_flash_shader_drawing_fill,"Adobe Flash Player Drawing Fill Shader Memory Corruption",great,CVE-2015-3105
exploits,exploits/multi/browser/opera_configoverwrite,"Opera 9 Configuration Overwrite",excellent,
exploits,exploits/multi/browser/chrome_object_create,"Google Chrome 67, 68 and 69 Object.create exploit",manual,CVE-2019-1458
exploits,exploits/multi/browser/adobe_flash_shader_job_overflow,"Adobe Flash Player ShaderJob Buffer Overflow",great,CVE-2015-3090
exploits,exploits/multi/browser/chrome_simplifiedlowering_overflow,"Google Chrome versions before 87.0.4280.88 integer overflow during SimplfiedLowering phase",manual,CVE-2020-16040
exploits,exploits/multi/browser/java_jre17_reflection_types,"Java Applet Reflection Type Confusion Remote Code Execution",excellent,
exploits,exploits/multi/browser/firefox_proxy_prototype,"Firefox Proxy Prototype Privileged Javascript Injection",manual,CVE-2014-8636
exploits,exploits/multi/browser/java_jre17_driver_manager,"Java Applet Driver Manager Privileged toString() Remote Code Execution",excellent,CVE-2013-1488
exploits,exploits/multi/browser/chrome_array_map,"Google Chrome 72 and 73 Array.map exploit",manual,CVE-2019-5825
exploits,exploits/multi/browser/java_rmi_connection_impl,"Java RMIConnectionImpl Deserialization Privilege Escalation",excellent,CVE-2010-0094
exploits,exploits/multi/browser/java_storeimagearray,"Java storeImageArray() Invalid Array Indexing Vulnerability",great,CVE-2013-2465
exploits,exploits/multi/browser/java_jre17_jmxbean_2,"Java Applet JMX Remote Code Execution",excellent,CVE-2013-0431
exploits,exploits/multi/browser/chrome_jscreate_sideeffect,"Google Chrome 80 JSCreate side-effect type confusion exploit",manual,CVE-2020-6418
exploits,exploits/multi/browser/java_getsoundbank_bof,"Sun Java JRE getSoundbank file:// URI Buffer Overflow",great,CVE-2009-3867
exploits,exploits/multi/browser/adobe_flash_opaque_background_uaf,"Adobe Flash opaqueBackground Use After Free",great,CVE-2015-5122
exploits,exploits/multi/browser/chrome_cve_2021_21220_v8_insufficient_validation,"Google Chrome versions before 89.0.4389.128 V8 XOR Typer Out-Of-Bounds Access RCE",manual,
exploits,exploits/multi/browser/firefox_escape_retval,"Firefox 3.5 escape() Return Value Memory Corruption",normal,
exploits,exploits/multi/browser/adobe_flash_pixel_bender_bof,"Adobe Flash Player Shader Buffer Overflow",great,CVE-2014-0515
exploits,exploits/multi/browser/opera_historysearch,"Opera historysearch XSS",excellent,
exploits,exploits/multi/browser/java_jre17_jmxbean,"Java Applet JMX Remote Code Execution",excellent,CVE-2013-0422
exploits,exploits/multi/browser/firefox_svg_plugin,"Firefox 17.0.1 Flash Privileged Code Injection",excellent,CVE-2013-0757;CVE-2013-0758
exploits,exploits/multi/browser/adobe_flash_hacking_team_uaf,"Adobe Flash Player ByteArray Use After Free",great,CVE-2015-5119
exploits,exploits/multi/browser/java_verifier_field_access,"Java Applet Field Bytecode Verifier Cache Remote Code Execution",excellent,CVE-2012-1723
exploits,exploits/multi/browser/msfd_rce_browser,"Metasploit msfd Remote Code Execution via Browser",normal,
exploits,exploits/multi/browser/java_rhino,"Java Applet Rhino Script Engine Remote Code Execution",excellent,CVE-2011-3544
exploits,exploits/multi/browser/firefox_webidl_injection,"Firefox WebIDL Privileged Javascript Injection",excellent,
exploits,exploits/multi/browser/firefox_proto_crmfrequest,"Firefox 5.0 - 15.0.1 __exposedProps__ XCS Code Execution",excellent,CVE-2012-3993;CVE-2013-1710
exploits,exploits/multi/browser/java_atomicreferencearray,"Java AtomicReferenceArray Type Violation Vulnerability",excellent,CVE-2012-0507
exploits,exploits/multi/browser/firefox_jit_use_after_free,"Firefox MCallGetProperty Write Side Effects Use After Free Exploit",manual,CVE-2020-26950
exploits,exploits/multi/browser/adobe_flash_net_connection_confusion,"Adobe Flash Player NetConnection Type Confusion",great,CVE-2015-0336
exploits,exploits/multi/browser/java_signed_applet,"Java Signed Applet Social Engineering Code Execution",excellent,
exploits,exploits/multi/browser/qtjava_pointer,"Apple QTJava toQTPointer() Arbitrary Memory Access",excellent,
exploits,exploits/multi/browser/firefox_tostring_console_injection,"Firefox toString console.time Privileged Javascript Injection",excellent,CVE-2013-1670;CVE-2013-1710
exploits,exploits/multi/mysql/mysql_udf_payload,"Oracle MySQL UDF Payload Execution",excellent,
exploits,exploits/multi/realserver/describe,"RealServer Describe Buffer Overflow",great,
exploits,exploits/multi/local/xorg_x11_suid_server,"Xorg X11 Server SUID logfile Privilege Escalation",good,CVE-2018-14665
exploits,exploits/multi/local/allwinner_backdoor,"Allwinner 3.4 Legacy Kernel Local Privilege Escalation",excellent,
exploits,exploits/multi/local/xorg_x11_suid_server_modulepath,"Xorg X11 Server SUID modulepath Privilege Escalation",good,CVE-2018-14665
exploits,exploits/multi/local/vagrant_synced_folder_vagrantfile_breakout,"Vagrant Synced Folder Vagrantfile Breakout",excellent,
exploits,exploits/multi/local/magnicomp_sysinfo_mcsiwrapper_priv_esc,"MagniComp SysInfo mcsiwrapper Privilege Escalation",excellent,CVE-2017-6516
exploits,exploits/multi/ntp/ntp_overflow,"NTP Daemon readvar Buffer Overflow",good,
exploits,exploits/multi/iiop/cve_2023_21839_weblogic_rce,"Oracle Weblogic PreAuth Remote Command Execution via ForeignOpaqueReference IIOP Deserialization",excellent,CVE-2023-21839
exploits,exploits/multi/samba/nttrans,"Samba 2.2.2 - 2.2.6 nttrans Buffer Overflow",average,
exploits,exploits/multi/samba/usermap_script,"Samba 'username map script' Command Execution",excellent,CVE-2007-2447
exploits,exploits/multi/elasticsearch/script_mvel_rce,"ElasticSearch Dynamic Script Arbitrary Java Execution",excellent,
exploits,exploits/multi/elasticsearch/search_groovy_script,"ElasticSearch Search Groovy Sandbox Bypass",excellent,CVE-2015-1427
exploits,exploits/multi/hams/steamed,"Steamed Hams",manual,
exploits,exploits/multi/persistence/ssh_key,"SSH Key Persistence",excellent,
exploits,exploits/multi/persistence/obsidian_plugin,"Obsidian Plugin Persistence",excellent,
exploits,exploits/multi/persistence/burp_extension,"Burp Extension Persistence",excellent,
exploits,exploits/multi/persistence/periodic_script,"Periodic Script Persistence",excellent,
exploits,exploits/multi/persistence/joplin_plugin,"Joplin Plugin Persistence",excellent,
exploits,exploits/multi/persistence/at,"at(1) Persistence",excellent,
exploits,exploits/multi/persistence/vscode_extension,"VS Code Extension Persistence",excellent,
exploits,exploits/multi/persistence/cron,"Cron Persistence",excellent,
exploits,exploits/multi/persistence/python_site_specific_hook,"Python Site-Specific Hook Persistence",excellent,
exploits,exploits/multi/http/wp_simple_file_list_rce,"WordPress Simple File List Unauthenticated Remote Code Execution",good,
exploits,exploits/multi/http/glassfish_deployer,"Sun/Oracle GlassFish Server Authenticated Code Execution",excellent,
exploits,exploits/multi/http/vbulletin_unserialize,"vBulletin 5.1.2 Unserialize Code Execution",excellent,
exploits,exploits/multi/http/tomcat_partial_put_deserialization,"Tomcat Partial PUT Java Deserialization",excellent,CVE-2025-24813
exploits,exploits/multi/http/wp_plugin_modern_events_calendar_rce,"Wordpress Plugin Modern Events Calendar - Authenticated Remote Code Execution",excellent,
exploits,exploits/multi/http/cisco_dcnm_upload_2019,"Cisco Data Center Network Manager Unauthenticated Remote Code Execution",excellent,CVE-2019-1619;CVE-2019-1622
exploits,exploits/multi/http/cacti_graph_template_rce,"Cacti Graph Template authenticated RCE versions prior to 1.2.29",excellent,CVE-2025-24367
exploits,exploits/multi/http/oracle_ebs_cve_2025_61882_exploit_rce,"Oracle E-Business Suite CVE-2025-61882 RCE",excellent,CVE-2025-61882
exploits,exploits/multi/http/spree_searchlogic_exec,"Spreecommerce Arbitrary Command Execution",excellent,
exploits,exploits/multi/http/git_client_command_exec,"Malicious Git and Mercurial HTTP Server For CVE-2014-9390",excellent,CVE-2014-9390
exploits,exploits/multi/http/wp_givewp_rce,"GiveWP Unauthenticated Donation Process Exploit",excellent,CVE-2024-5932;CVE-2024-8353
exploits,exploits/multi/http/wp_plugin_elementor_auth_upload_rce,"Wordpress Plugin Elementor Authenticated Upload Remote Code Execution",excellent,
exploits,exploits/multi/http/vvveb_auth_rce_cve_2025_8518,"Remote Code Execution Vulnerability in Vvveb",excellent,
exploits,exploits/multi/http/crushftp_rce_cve_2023_43177,"CrushFTP Unauthenticated RCE",excellent,CVE-2023-43177
exploits,exploits/multi/http/metasploit_webui_console_command_execution,"Metasploit Web UI Diagnostic Console Command Execution",excellent,
exploits,exploits/multi/http/git_submodule_url_exec,"Malicious Git HTTP Server For CVE-2018-17456",excellent,CVE-2018-17456
exploits,exploits/multi/http/apache_flink_jar_upload_exec,"Apache Flink JAR Upload Java Code Execution",excellent,
exploits,exploits/multi/http/bolt_file_upload,"CMS Bolt File Upload Vulnerability",excellent,
exploits,exploits/multi/http/spip_connect_exec,"SPIP connect Parameter PHP Injection",excellent,
exploits,exploits/multi/http/struts2_code_exec_showcase,"Apache Struts 2 Struts 1 Plugin Showcase OGNL Code Execution",excellent,
exploits,exploits/multi/http/rails_dynamic_render_code_exec,"Ruby on Rails Dynamic Render File Upload Remote Code Execution",excellent,CVE-2016-0752
exploits,exploits/multi/http/churchinfo_upload_exec,"ChurchInfo 1.2.13-1.3.0 Authenticated RCE",normal,
exploits,exploits/multi/http/pmwiki_pagelist,"PmWiki pagelist.php Remote PHP Code Injection Exploit",excellent,
exploits,exploits/multi/http/wp_plugin_sp_project_document_rce,"Wordpress Plugin SP Project and Document - Authenticated Remote Code Execution",excellent,
exploits,exploits/multi/http/xerte_unauthenticated_importlanguage,"Xerte Online Toolkits Arbitrary File Upload - Import Language",excellent,
exploits,exploits/multi/http/pgadmin_session_deserialization,"pgAdmin Session Deserialization RCE",excellent,
exploits,exploits/multi/http/wp_catch_themes_demo_import,"Wordpress Plugin Catch Themes Demo Import RCE",normal,CVE-2021-39352
exploits,exploits/multi/http/jetbrains_teamcity_rce_cve_2024_27198,"JetBrains TeamCity Unauthenticated Remote Code Execution",excellent,CVE-2024-27198;CVE-2024-27199
exploits,exploits/multi/http/manageengine_servicedesk_plus_saml_rce_cve_2022_47966,"ManageEngine ServiceDesk Plus Unauthenticated SAML RCE",excellent,CVE-2022-47966
exploits,exploits/multi/http/wso2_api_manager_file_upload_rce,"WSO2 API Manager Documentation File Upload Remote Code Execution",excellent,
exploits,exploits/multi/http/subrion_cms_file_upload_rce,"Intelliants Subrion CMS 4.2.1 - Authenticated File Upload Bypass to RCE",excellent,
exploits,exploits/multi/http/zemra_panel_rce,"Zemra Botnet CnC Web Panel Remote Code Execution",excellent,
exploits,exploits/multi/http/spring_framework_rce_spring4shell,"Spring Framework Class property RCE (Spring4Shell)",manual,CVE-2022-22965
exploits,exploits/multi/http/papercut_ng_auth_bypass,"PaperCut PaperCutNG Authentication Bypass",excellent,CVE-2023-27350
exploits,exploits/multi/http/solarwinds_webhelpdesk_rce,"SolarWinds Web Help Desk unauthenticated RCE",great,CVE-2025-40536;CVE-2025-40551
exploits,exploits/multi/http/testlink_upload_exec,"testlink_upload_exec",excellent,
exploits,exploits/multi/http/sit_file_upload,"Support Incident Tracker Remote Command Execution",excellent,CVE-2011-3829;CVE-2011-3833
exploits,exploits/multi/http/cuteflow_upload_exec,"cuteflow_upload_exec",excellent,
exploits,exploits/multi/http/php_cgi_arg_injection,"PHP CGI Argument Injection",excellent,CVE-2012-1823
exploits,exploits/multi/http/vbulletin_replace_ad_template_rce,"vBulletin replaceAdTemplate Remote Code Execution",excellent,
exploits,exploits/multi/http/freescout_htaccess_rce,"FreeScout Unauthenticated RCE via ZWSP .htaccess Bypass",excellent,CVE-2026-27636;CVE-2026-28289
exploits,exploits/multi/http/snortreport_exec,"Snortreport nmap.php/nbtscan.php Remote Command Execution",excellent,
